reference_group_id,document_id,role
RG-seccl-exam=TEM4,TASK1/03-168-05B,member
RG-seccl-exam=TEM4,TASK1/03-168-06A,member
RG-seccl-exam=TEM4,TASK1/03-168-07B,member
RG-seccl-exam=TEM4,TASK1/03-168-08B,member
RG-seccl-exam=TEM4,TASK1/03-168-09B,member
RG-seccl-exam=TEM4,TASK1/03-168-10A,member
RG-seccl-exam=TEM4,TASK1/03-168-11B,member
RG-seccl-exam=TEM4,TASK1/03-168-12A,member
RG-seccl-exam=TEM4,TASK1/03-168-13A,member
RG-seccl-exam=TEM4,TASK1/03-168-14B,member
RG-seccl-exam=TEM4,TASK1/03-168-15B,member
RG-seccl-exam=TEM4,TASK1/03-168-16A,member
RG-seccl-exam=TEM4,TASK1/03-168-17A,member
RG-seccl-exam=TEM4,TASK1/03-168-18A,member
RG-seccl-exam=TEM4,TASK1/03-168-19B,member
RG-seccl-exam=TEM4,TASK1/03-168-20B,member
RG-seccl-exam=TEM4,TASK1/03-168-21A,member
RG-seccl-exam=TEM4,TASK1/03-168-22A,member
RG-seccl-exam=TEM4,TASK1/03-168-23B,member
RG-seccl-exam=TEM4,TASK1/03-168-24B,member
RG-seccl-exam=TEM4,TASK1/03-168-25B,member
RG-seccl-exam=TEM4,TASK1/03-168-26B,member
RG-seccl-exam=TEM4,TASK1/03-168-27B,member
RG-seccl-exam=TEM4,TASK1/03-168-28B,member
RG-seccl-exam=TEM4,TASK1/03-168-30A,member
RG-seccl-exam=TEM4,TASK1/03-194-01B,member
RG-seccl-exam=TEM4,TASK1/03-194-02A,member
RG-seccl-exam=TEM4,TASK1/03-194-03B,member
RG-seccl-exam=TEM4,TASK1/03-194-04A,member
RG-seccl-exam=TEM4,TASK1/03-194-05A,member
RG-seccl-exam=TEM4,TASK1/03-194-06B,member
RG-seccl-exam=TEM4,TASK1/03-194-07B,member
RG-seccl-exam=TEM4,TASK1/03-194-08B,member
RG-seccl-exam=TEM4,TASK1/03-194-09B,member
RG-seccl-exam=TEM4,TASK1/03-194-11A,member
RG-seccl-exam=TEM4,TASK1/03-194-12A,member
RG-seccl-exam=TEM4,TASK1/03-194-13A,member
RG-seccl-exam=TEM4,TASK1/03-194-14A,member
RG-seccl-exam=TEM4,TASK1/03-194-15B,member
RG-seccl-exam=TEM4,TASK1/03-194-16A,member
RG-seccl-exam=TEM4,TASK1/03-194-17B,member
RG-seccl-exam=TEM4,TASK1/03-194-18B,member
RG-seccl-exam=TEM4,TASK1/03-194-19A,member
RG-seccl-exam=TEM4,TASK1/03-194-20B,member
RG-seccl-exam=TEM4,TASK1/03-194-21B,member
RG-seccl-exam=TEM4,TASK1/03-194-22A,member
RG-seccl-exam=TEM4,TASK1/03-194-23B,member
RG-seccl-exam=TEM4,TASK1/03-194-24B,member
RG-seccl-exam=TEM4,TASK1/03-194-26B,member
RG-seccl-exam=TEM4,TASK1/03-194-27B,member
RG-seccl-exam=TEM4,TASK1/03-194-29A,member
RG-seccl-exam=TEM4,TASK1/03-194-30A,member
RG-seccl-exam=TEM4,TASK1/04-020-01B,member
RG-seccl-exam=TEM4,TASK1/04-020-02A,member
RG-seccl-exam=TEM4,TASK1/04-020-03B,member
RG-seccl-exam=TEM4,TASK1/04-020-04A,member
RG-seccl-exam=TEM4,TASK1/04-020-05B,member
RG-seccl-exam=TEM4,TASK1/04-020-06A,member
RG-seccl-exam=TEM4,TASK1/04-020-07A,member
RG-seccl-exam=TEM4,TASK1/04-020-08B,member
RG-seccl-exam=TEM4,TASK1/04-020-09B,member
RG-seccl-exam=TEM4,TASK1/04-020-10A,member
RG-seccl-exam=TEM4,TASK1/04-020-11A,member
RG-seccl-exam=TEM4,TASK1/04-020-12B,member
RG-seccl-exam=TEM4,TASK1/04-020-13B,member
RG-seccl-exam=TEM4,TASK1/04-020-14A,member
RG-seccl-exam=TEM4,TASK1/04-020-15B,member
RG-seccl-exam=TEM4,TASK1/04-020-16A,member
RG-seccl-exam=TEM4,TASK1/04-020-17A,member
RG-seccl-exam=TEM4,TASK1/04-020-18A,member
RG-seccl-exam=TEM4,TASK1/04-020-19B,member
RG-seccl-exam=TEM4,TASK1/04-020-20B,member
RG-seccl-exam=TEM4,TASK1/04-020-21A,member
RG-seccl-exam=TEM4,TASK1/04-020-22A,member
RG-seccl-exam=TEM4,TASK1/04-020-23A,member
RG-seccl-exam=TEM4,TASK1/04-020-24B,member
RG-seccl-exam=TEM4,TASK1/04-020-26A,member
