band,records,median_n,median_se_mean,median_percentile_step_pct
30-39,56,32.5,0.0035840192683299424,3.077651515151515
40-49,56,43.0,0.0031392420200523664,2.3255813953488373
50-99,224,79.5,0.002470182026183541,1.258309591642925
100-249,378,145.0,0.0018767969259048784,0.6896551724137931
250-499,196,343.0,0.0013357306951166281,0.2947925708834323
500-1000000000,140,2251.0,0.0006488671494590157,0.04450564822348123
