reference_group_id,document_id,role
RG-entry_year=2004,WARG1561,member
RG-entry_year=2004,WARG1580,member
RG-entry_year=2004,WARG1644,member
RG-entry_year=2004,WARG1645,member
RG-entry_year=2004,WARG1646,member
RG-entry_year=2004,WARG1647,member
RG-entry_year=2004,WARG1665,member
RG-entry_year=2004,WARG1666,member
RG-entry_year=2004,WARG1667,member
RG-entry_year=2004,WARG1764,member
RG-entry_year=2004,WARG1765,member
RG-entry_year=2004,WARG1766,member
RG-entry_year=2004,WARG1767,member
RG-entry_year=2004,WARG1768,member
RG-entry_year=2004,WARG1769,member
RG-entry_year=2004,WARG1770,member
RG-entry_year=2004,WARG1822,member
RG-entry_year=2004,WARG1823,member
RG-entry_year=2004,WARG1824,member
RG-entry_year=2004,WARG1825,member
RG-entry_year=2004,WARG1826,member
RG-entry_year=2004,WARG1827,member
RG-entry_year=2004,WARG1862,member
RG-entry_year=2004,WARG1995,member
RG-entry_year=2004,WARG1996,member
RG-entry_year=2004,WARG1997,member
RG-entry_year=2004,WARG2025,member
RG-entry_year=2004,WARG2026,member
RG-entry_year=2004,WARG2027,member
RG-entry_year=2004,WARG2028,member
RG-entry_year=2004,WARG2029,member
RG-entry_year=2004,WARG2038,member
RG-entry_year=2004,WARG2040,member
RG-entry_year=2004,WARG2053,member
RG-entry_year=2004,WARG2112,member
RG-entry_year=2004,WARG2113,member
RG-entry_year=2004,WARG2114,member
RG-entry_year=2004,WARG2115,member
RG-entry_year=2004,WARG2132,member
RG-entry_year=2004,WARG2133,member
RG-entry_year=2004,WARG2134,member
RG-entry_year=2004,WARG2232,member
RG-entry_year=2004,WARG2233,member
RG-entry_year=2004,WARG2234,member
RG-entry_year=2004,WARG2235,member
RG-entry_year=2004,WARG2236,member
RG-entry_year=2004,WARG2237,member
RG-entry_year=2004,WARG2238,member
RG-entry_year=2004,WARG2290,member
RG-entry_year=2004,WARG2291,member
RG-entry_year=2004,WARG2292,member
RG-entry_year=2004,WARG2293,member
RG-entry_year=2004,WARG2294,member
RG-entry_year=2004,WARG2295,member
RG-entry_year=2004,WARG2330,member
RG-entry_year=2004,WARG2463,member
RG-entry_year=2004,WARG2464,member
RG-entry_year=2004,WARG2493,member
RG-entry_year=2004,WARG2494,member
RG-entry_year=2004,WARG2495,member
RG-entry_year=2004,WARG2496,member
RG-entry_year=2004,WARG2497,member
RG-entry_year=2004,WARG2502,member
RG-entry_year=2004,WARG2508,member
RG-entry_year=2004,WARG2580,member
RG-entry_year=2004,WARG2581,member
RG-entry_year=2004,WARG2582,member
RG-entry_year=2004,WARG2583,member
RG-entry_year=2004,WARG2600,member
RG-entry_year=2004,WARG2601,member
RG-entry_year=2004,WARG2602,member
RG-entry_year=2004,WARG2700,member
RG-entry_year=2004,WARG2701,member
RG-entry_year=2004,WARG2702,member
RG-entry_year=2004,WARG2703,member
RG-entry_year=2004,WARG2704,member
RG-entry_year=2004,WARG2705,member
RG-entry_year=2004,WARG2706,member
RG-entry_year=2004,WARG2758,member
RG-entry_year=2004,WARG2759,member
RG-entry_year=2004,WARG2760,member
RG-entry_year=2004,WARG2761,member
RG-entry_year=2004,WARG2762,member
RG-entry_year=2004,WARG2763,member
RG-entry_year=2004,WARG2798,member
RG-entry_year=2004,WARG2931,member
RG-entry_year=2004,WARG2932,member
RG-entry_year=2004,WARG2960,member
RG-entry_year=2004,WARG2961,member
RG-entry_year=2004,WARG2962,member
RG-entry_year=2004,WARG2963,member
RG-entry_year=2004,WARG2964,member
RG-entry_year=2004,WARG2965,member
RG-entry_year=2004,WARG3048,member
RG-entry_year=2004,WARG3049,member
RG-entry_year=2004,WARG3050,member
RG-entry_year=2004,WARG3051,member
RG-entry_year=2004,WARG3068,member
RG-entry_year=2004,WARG3069,member
RG-entry_year=2004,WARG3070,member
RG-entry_year=2004,WARG3167,member
RG-entry_year=2004,WARG3168,member
RG-entry_year=2004,WARG3169,member
RG-entry_year=2004,WARG3170,member
RG-entry_year=2004,WARG3171,member
RG-entry_year=2004,WARG3172,member
RG-entry_year=2004,WARG3173,member
RG-entry_year=2004,WARG3174,member
RG-entry_year=2004,WARG3226,member
RG-entry_year=2004,WARG3227,member
RG-entry_year=2004,WARG3228,member
RG-entry_year=2004,WARG3229,member
RG-entry_year=2004,WARG3230,member
RG-entry_year=2004,WARG3231,member
RG-entry_year=2004,WARG3266,member
RG-entry_year=2004,WARG3343,member
RG-entry_year=2004,WARG3344,member
RG-entry_year=2004,WARG3399,member
RG-entry_year=2004,WARG3400,member
RG-entry_year=2004,WARG3428,member
RG-entry_year=2004,WARG3429,member
RG-entry_year=2004,WARG3430,member
RG-entry_year=2004,WARG3432,member
RG-entry_year=2004,WARG3433,member
RG-entry_year=2004,WARG3515,member
RG-entry_year=2004,WARG3516,member
RG-entry_year=2004,WARG3517,member
RG-entry_year=2004,WARG3518,member
RG-entry_year=2004,WARG3519,member
RG-entry_year=2004,WARG3536,member
RG-entry_year=2004,WARG3537,member
RG-entry_year=2004,WARG3538,member
RG-entry_year=2004,WARG3635,member
RG-entry_year=2004,WARG3636,member
RG-entry_year=2004,WARG3637,member
RG-entry_year=2004,WARG3638,member
RG-entry_year=2004,WARG3639,member
RG-entry_year=2004,WARG3640,member
RG-entry_year=2004,WARG3641,member
RG-entry_year=2004,WARG3642,member
RG-entry_year=2004,WARG3694,member
RG-entry_year=2004,WARG3695,member
RG-entry_year=2004,WARG3696,member
RG-entry_year=2004,WARG3697,member
RG-entry_year=2004,WARG3698,member
RG-entry_year=2004,WARG3699,member
RG-entry_year=2004,WARG3734,member
RG-entry_year=2004,WARG3867,member
RG-entry_year=2004,WARG3868,member
RG-entry_year=2004,WARG3896,member
RG-entry_year=2004,WARG3897,member
RG-entry_year=2004,WARG3898,member
RG-entry_year=2004,WARG3899,member
RG-entry_year=2004,WARG3900,member
RG-entry_year=2004,WARG3901,member
RG-entry_year=2004,WARG3904,member
RG-entry_year=2004,WARG3983,member
RG-entry_year=2004,WARG3984,member
RG-entry_year=2004,WARG3985,member
RG-entry_year=2004,WARG3986,member
RG-entry_year=2004,WARG3987,member
RG-entry_year=2004,WARG4004,member
RG-entry_year=2004,WARG4005,member
RG-entry_year=2004,WARG4006,member
RG-entry_year=2004,WARG4103,member
RG-entry_year=2004,WARG4104,member
RG-entry_year=2004,WARG4105,member
RG-entry_year=2004,WARG4106,member
RG-entry_year=2004,WARG4107,member
RG-entry_year=2004,WARG4108,member
RG-entry_year=2004,WARG4109,member
RG-entry_year=2004,WARG4162,member
RG-entry_year=2004,WARG4163,member
RG-entry_year=2004,WARG4164,member
RG-entry_year=2004,WARG4165,member
RG-entry_year=2004,WARG4166,member
RG-entry_year=2004,WARG4167,member
RG-entry_year=2004,WARG4202,member
RG-entry_year=2004,WARG4279,member
RG-entry_year=2004,WARG4335,member
RG-entry_year=2004,WARG4336,member
RG-entry_year=2004,WARG4364,member
RG-entry_year=2004,WARG4365,member
RG-entry_year=2004,WARG4366,member
RG-entry_year=2004,WARG4367,member
RG-entry_year=2004,WARG4368,member
RG-entry_year=2004,WARG4369,member
RG-entry_year=2004,WARG4451,member
RG-entry_year=2004,WARG4452,member
RG-entry_year=2004,WARG4453,member
RG-entry_year=2004,WARG4454,member
RG-entry_year=2004,WARG4472,member
RG-entry_year=2004,WARG4473,member
RG-entry_year=2004,WARG4474,member
RG-entry_year=2004,WARG4571,member
RG-entry_year=2004,WARG4572,member
RG-entry_year=2004,WARG4573,member
RG-entry_year=2004,WARG4574,member
RG-entry_year=2004,WARG4575,member
RG-entry_year=2004,WARG4576,member
RG-entry_year=2004,WARG4577,member
RG-entry_year=2004,WARG4630,member
RG-entry_year=2004,WARG4631,member
RG-entry_year=2004,WARG4632,member
RG-entry_year=2004,WARG4633,member
