relative_path,exclusion_status,reason,evidence
WECCL20/LEMMA/WARG2081.txt,candidate,corrupt: entire file is NUL bytes (no text),"bytes=2150, sha256=dae81d94ed0b0769cb7037c135ccb70d39e26c882b5cc542671ea5492e3323e8"
WECCL20/RAW/WARG2081.txt,candidate,corrupt: entire file is NUL bytes (no text),"bytes=2157, sha256=e6da6d1910bb9df94ea42d73a0c3c514528eedcf674b152d4b46cc99e889db1b"
