relative_path,filename,extension,bytes,sha256,detected_encoding,encoding_status,corpus_component,text_variant,physical_status
SECCL20/AUDIO/TASK1/2003/03-130/03-130-24B.mp3,03-130-24B.mp3,.mp3,870216,b301b3146f7ddb1a625a06ca0c1280d67bc479bc70a4374dc6deda9dfc97091b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-25A.mp3,03-130-25A.mp3,.mp3,751307,91bab8ea585c98dcb4c9004c2812321826ada1481d4368aaf4fb178402435069,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-26B.mp3,03-130-26B.mp3,.mp3,779832,985d3434800def8741c8685ea66d1b6af4ede3dc0108491b98743d4b060041f8,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-27A.mp3,03-130-27A.mp3,.mp3,750889,8f2a6074faa166836ad140631c5b7c37f3eb3dce6e516a23cb045d54db306520,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-28A.mp3,03-130-28A.mp3,.mp3,756531,2a5b27bfff16da0264fb768541b228bfca4137339005f8aab5741ca27c3ec710,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-29A.mp3,03-130-29A.mp3,.mp3,766144,6cb118e9ca5b049eb8ad67339161776cc54d3078fb8479d38bef42b839bb58e0,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-130/03-130-30A.mp3,03-130-30A.mp3,.mp3,833854,63438a85f542b3046735ac42b817a701ac276cee923c6c5acba7323da046cb81,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-01A.mp3,03-131-01A.mp3,.mp3,738663,1f0b4c63a51d1a181cbdbd09a823d0c80f58c50a16a3e81d988de46e0a6f1edb,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-02A.mp3,03-131-02A.mp3,.mp3,726961,d0cbf4e08d4c2b4f3881067cae008c6bcacd3dcd2fab2ff18030802397a3167a,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-03B.mp3,03-131-03B.mp3,.mp3,713377,18aa6688db1e9df04cdd1f564d80f73b7cc26de814f406305b9044e1f71a043a,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-04B.mp3,03-131-04B.mp3,.mp3,633547,4c071f94a7b17849b183fbe614a36e1b69e614787ca014ffe451a38c5cdbd9e1,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-06B.mp3,03-131-06B.mp3,.mp3,726961,e295f70d18c9c9bdd59659ae9be187cb527bed82d6b83001d71332cb5473aa8e,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-07B.mp3,03-131-07B.mp3,.mp3,841690,8ac2029f4d0033c1d07d1f9932ec120939ddc96bb5e5d4ba6a3958687bbc8172,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-08A.mp3,03-131-08A.mp3,.mp3,709615,b47c05ab432d7ddf486782edac44a21c225a1eff7f063d500e8b92f683b9bca5,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-09A.mp3,03-131-09A.mp3,.mp3,716616,5dec395929d753a3b0c2ce50d938144832c6dca37bcfb2c61fbe34200375b4f8,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-10A.mp3,03-131-10A.mp3,.mp3,710765,0ecb6403e11e23f19020a663c665054c43a4d61f8ff7039ea3217dc3698712f0,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-13B.mp3,03-131-13B.mp3,.mp3,798641,576d51b850570084f79d589b9db81ab816dde7d8356871005762145cb6c3982e,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-14A.mp3,03-131-14A.mp3,.mp3,727378,e4df693cfbc819429b30075344823360587e8b936ac487080de382f9e8f1458b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-16B.mp3,03-131-16B.mp3,.mp3,714317,a26bb14420747f2fe34826eb3bee087bfac85ff44c0b353cdd908618899c1e15,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-18A.mp3,03-131-18A.mp3,.mp3,705331,cabb705faeb38724ef82d4ce33a3a3dce0b5134e7b33812d0c13841cdee82385,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-19B.mp3,03-131-19B.mp3,.mp3,807313,b50b27c9e6911eb037d59537d8c338271509711143781bbc874467497efd949b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-20B.mp3,03-131-20B.mp3,.mp3,717452,654f9d66d81d8203635d84d7599b9af883e57a0a5045d6e19dd00d14d57081d2,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-21A.mp3,03-131-21A.mp3,.mp3,740753,b1bcdf262c111e8875e2a476ad3b8571dbc234e3af9d40ddaf88fdf59cae4e49,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-22A.mp3,03-131-22A.mp3,.mp3,521325,6d6e89576e15f3d41c4ef1894e85f20aefede945b6bb4bba8e8bc0c2b8433030,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-25B.mp3,03-131-25B.mp3,.mp3,796864,cbc85f3b7ae62d691f4146dd8bc6b33fc7a01f176a2a29d6b6c6c0a815e5affe,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-26B.mp3,03-131-26B.mp3,.mp3,748067,8c4c07cccf071dfd907250844c7f932005d69343657a2473fab5911f26775825,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-27B.mp3,03-131-27B.mp3,.mp3,759143,44d0e18f44f8268abd00cfd9b5cc2bec3e98399ff95343a474c3ec30d98e103b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-28A.mp3,03-131-28A.mp3,.mp3,787251,51c35c7eb13193a13021546779698a19d111e00bd63c9b48b2e795d6c4da0f1f,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-29B.mp3,03-131-29B.mp3,.mp3,648907,2c9595d2090e011a8fca894b6d7af671b0b6d4fa7aff59f6690d02c3bf549694,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-131/03-131-30A.mp3,03-131-30A.mp3,.mp3,749635,7efac83b22aa601073fc2e623e2d7d7692b58145a390d1d579bbb18fe58ae05b,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-01A.mp3,03-160-01A.mp3,.mp3,746396,684c7fa7d5181b0fc0d581308cefc0bf4b77775111f6736734bcf395e13bff10,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-02A.mp3,03-160-02A.mp3,.mp3,767921,260739b77d9e531b9654cffda2de8c5e67ebe6c8ee29184fd82b474fc126a73c,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-03A.mp3,03-160-03A.mp3,.mp3,622680,9f256f80db97643e4237a9e04977931b99c72d7583c9694deb725481a29dc9a4,needs_review,needs_review,seccl_audio,,ok
SECCL20/AUDIO/TASK1/2003/03-160/03-160-04B.mp3,03-160-04B.mp3,.mp3,779519,d4928f630a8efbf45f99220f1dc7456408bcd25a5edd59bf2fe772775b214850,needs_review,needs_review,seccl_audio,,ok
