document_id,source_relative_path,derived_relative_path,source_sha256,corpus,domain,genre,genre_from_filename,prompt_id,major_type,entry_year,grade,timed_status,header_raw,metadata_status,metadata_source,raw_usable,lemma_usable,tagged_usable
WARG3731,WECCL20/RAW/WARG3731.txt,WECCL20/RAW/WARG3731.txt,35801e2d2b12a3617fc67de30d2c8b062c15e1fa76a62ee8210168ab7a1a52f7,weccl_2_0,l2_writing,argumentative,argumentative,ARG04,english_major,2005,2,untimed,<STU1><ARG04><YEAR05><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3732,WECCL20/RAW/WARG3732.txt,WECCL20/RAW/WARG3732.txt,87a1202d9ac7cefdef3486a3c3e2d4741087f978f5c2b4a377eb878911f02520,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2003,4,timed,<STU1><ARG26><YEAR03><GRADE4><TIMED>,parsed,raw,yes,yes,yes
WARG3733,WECCL20/RAW/WARG3733.txt,WECCL20/RAW/WARG3733.txt,89a4f2bc8a6fdd9694c6b8cd61e885b6500cd81fedfb939624c1451a0ab35bb0,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2003,4,timed,<STU1><ARG26><YEAR03><GRADE4><TIMED>,parsed,raw,yes,yes,yes
WARG3734,WECCL20/RAW/WARG3734.txt,WECCL20/RAW/WARG3734.txt,7f9446e756bcef3af134676589b824bd0f41ae225703c34678ac26f5e4603b7b,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2004,3,timed,<STU1><ARG26><YEAR04><GRADE3><TIMED>,parsed,raw,yes,yes,yes
WARG3735,WECCL20/RAW/WARG3735.txt,WECCL20/RAW/WARG3735.txt,c0c7d7be3b9f0d73775da3678e00f80173ecfbe073fe0754e9fd8034ddf3284e,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2005,2,timed,<STU1><ARG26><YEAR05><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3736,WECCL20/RAW/WARG3736.txt,WECCL20/RAW/WARG3736.txt,aee2a2c0e01ca7ab73685345016d3f3b6f5134a8031e11acf0299e75e9572cf7,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2006,1,timed,<STU1><ARG26><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3737,WECCL20/RAW/WARG3737.txt,WECCL20/RAW/WARG3737.txt,fcc8d6333ddfe2151b32603d31dea290cedb86cdd50406287c5363bb6ef42cb4,weccl_2_0,l2_writing,argumentative,argumentative,ARG26,english_major,2006,1,timed,<STU1><ARG26><YEAR06><GRADE1><TIMED>,parsed,raw,yes,yes,yes
WARG3738,WECCL20/RAW/WARG3738.txt,WECCL20/RAW/WARG3738.txt,702f5446d34cc84a66a5b9ecdf81b375379db7d057deccc27e8a9d8c5ba35633,weccl_2_0,l2_writing,argumentative,argumentative,ARG07,english_major,2006,2,untimed,<STU1><ARG07><YEAR06><GRADE2><UNTIMED>,parsed,raw,yes,yes,yes
WARG3739,WECCL20/RAW/WARG3739.txt,WECCL20/RAW/WARG3739.txt,e1d317e2a1ff56beba6d6868f5e2f581ffc4995d9534472c687ced7cb928b159,weccl_2_0,l2_writing,argumentative,argumentative,ARG07,english_major,2006,2,timed,<STU1><ARG07><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
WARG3740,WECCL20/RAW/WARG3740.txt,WECCL20/RAW/WARG3740.txt,2805247d499444a6ece47815dddb433de33bc95e533b3284005694f39acbdb2a,weccl_2_0,l2_writing,argumentative,argumentative,ARG07,english_major,2006,2,timed,<STU1><ARG07><YEAR06><GRADE2><TIMED>,parsed,raw,yes,yes,yes
