scope,kind,members,n,detail
weccl_raw,exact_duplicate_text,"WARG0013,WARG0403",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1415,WARG1805",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0383,WARG3661",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3283,WARG3673",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4216,WARG4606",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3762,WARG4620",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2820,WARG3210",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1884,WARG2274",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3294,WARG4152",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3194,WARG4596",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3284,WARG3674",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1888,WARG2746",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0017,WARG0876",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1421,WARG2279",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0480,WARG0870",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1322,WARG2724",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3755,WARG4145",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3749,WARG4139",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0854,WARG2256",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3286,WARG3676",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0941,WARG1331",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1416,WARG1806",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3292,WARG4150",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1409,WARG1799",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0949,WARG1339",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2352,WARG2742",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1890,WARG2748",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2346,WARG2736",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4135,WARG4213",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3280,WARG3670",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3193,WARG4595",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1887,WARG2745",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2819,WARG3209",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1423,WARG2281",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0018,WARG0877",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2354,WARG2744",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG1790,WARG3192",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0665,WARG1127",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3278,WARG3668",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0006,WARG0396",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0950,WARG1340",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0378,WARG4122",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3287,WARG3677",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4217,WARG4607",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2347,WARG2737",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG2814,WARG3204",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0385,WARG1788",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0479,WARG0869",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0473,WARG0863",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG3279,WARG3669",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG0008,WARG0398",2,identical body text after whitespace/lowercase normalization
weccl_raw,exact_duplicate_text,"WARG4214,WARG4604",2,identical body text after whitespace/lowercase normalization
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0378.txt,WECCL20/LEMMA/WARG4122.txt",2,identical sha256 00b426e57c295290...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0405.txt,WECCL20/LEMMA/WARG4227.txt",2,identical sha256 014a6929cfb56803...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0014.txt,WECCL20/LEMMA/WARG0873.txt",2,identical sha256 02b4c7d829f75beb...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0006.txt,WECCL20/LEMMA/WARG0396.txt",2,identical sha256 02ca36384b01b1d9...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2817.txt,WECCL20/LEMMA/WARG3207.txt",2,identical sha256 065faa8b95300d09...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4217.txt,WECCL20/LEMMA/WARG4607.txt",2,identical sha256 08594311df1e4f94...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0407.txt,WECCL20/LEMMA/WARG4229.txt",2,identical sha256 0a56f5d3b205af22...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3193.txt,WECCL20/LEMMA/WARG4595.txt",2,identical sha256 0b8989b831d817fe...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0945.txt,WECCL20/LEMMA/WARG1335.txt",2,identical sha256 0c50b1eb422986d9...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2344.txt,WECCL20/LEMMA/WARG2734.txt",2,identical sha256 0d6bd9cd4529a273...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3287.txt,WECCL20/LEMMA/WARG3677.txt",2,identical sha256 11fbe8aac588da29...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2731.txt,WECCL20/LEMMA/WARG2809.txt",2,identical sha256 1260a85e912e545a...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3761.txt,WECCL20/LEMMA/WARG4619.txt",2,identical sha256 136094d44ac23ff8...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2822.txt,WECCL20/LEMMA/WARG3212.txt",2,identical sha256 187a32fd7c4b1f76...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3755.txt,WECCL20/LEMMA/WARG4145.txt",2,identical sha256 1a87d54b3d8f4e94...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0479.txt,WECCL20/LEMMA/WARG0869.txt",2,identical sha256 1b26cb5838fb149a...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1876.txt,WECCL20/LEMMA/WARG2266.txt",2,identical sha256 1ba03996f4e66a45...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2263.txt,WECCL20/LEMMA/WARG2341.txt",2,identical sha256 1be8075b51df8ead...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4216.txt,WECCL20/LEMMA/WARG4606.txt",2,identical sha256 1d6ef25436fbf40a...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0480.txt,WECCL20/LEMMA/WARG0870.txt",2,identical sha256 2105e37597b74dac...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4135.txt,WECCL20/LEMMA/WARG4213.txt",2,identical sha256 230e7fd159a1d5a8...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3279.txt,WECCL20/LEMMA/WARG3669.txt",2,identical sha256 23f1488b6a8c6d89...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3280.txt,WECCL20/LEMMA/WARG3670.txt",2,identical sha256 2568799668e6d5b5...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3667.txt,WECCL20/LEMMA/WARG3745.txt",2,identical sha256 2a74e067235afb98...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1418.txt,WECCL20/LEMMA/WARG1808.txt",2,identical sha256 2fa677304d64ecba...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2354.txt,WECCL20/LEMMA/WARG2744.txt",2,identical sha256 315ace32aca9d9e0...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2816.txt,WECCL20/LEMMA/WARG3206.txt",2,identical sha256 338c8da8167fc1de...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1890.txt,WECCL20/LEMMA/WARG2748.txt",2,identical sha256 3691d50324a6f8c1...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4214.txt,WECCL20/LEMMA/WARG4604.txt",2,identical sha256 39856e06afdc97ae...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3194.txt,WECCL20/LEMMA/WARG4596.txt",2,identical sha256 3a45eb1ef3c8169e...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2257.txt,WECCL20/LEMMA/WARG3659.txt",2,identical sha256 3ef3b3ce614fbbed...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0885.txt,WECCL20/LEMMA/WARG3693.txt",2,identical sha256 41cbeaa662213d54...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0953.txt,WECCL20/LEMMA/WARG1811.txt",2,identical sha256 41e41b8451010343...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2819.txt,WECCL20/LEMMA/WARG3209.txt",2,identical sha256 42670d3ea026154b...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3284.txt,WECCL20/LEMMA/WARG3674.txt",2,identical sha256 44f2ba0b2c3b709a...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1412.txt,WECCL20/LEMMA/WARG1802.txt",2,identical sha256 45ec32d324c5aa55...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1879.txt,WECCL20/LEMMA/WARG2269.txt",2,identical sha256 4b0c20d0fb4f6475...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2820.txt,WECCL20/LEMMA/WARG3210.txt",2,identical sha256 4db83427ae018127...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2826.txt,WECCL20/LEMMA/WARG3684.txt",2,identical sha256 5013ac8206024ac2...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1421.txt,WECCL20/LEMMA/WARG2279.txt",2,identical sha256 5220c9e6842da4c6...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1887.txt,WECCL20/LEMMA/WARG2745.txt",2,identical sha256 54940d4701ee859a...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0941.txt,WECCL20/LEMMA/WARG1331.txt",2,identical sha256 54c205fa596fdb9d...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2346.txt,WECCL20/LEMMA/WARG2736.txt",2,identical sha256 54f1a1b25783428c...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2827.txt,WECCL20/LEMMA/WARG3685.txt",2,identical sha256 593976b3fa2d86e6...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0391.txt,WECCL20/LEMMA/WARG0470.txt",2,identical sha256 5efa67bfaac88a57...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2725.txt,WECCL20/LEMMA/WARG4127.txt",2,identical sha256 65913fc44d2b316e...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2825.txt,WECCL20/LEMMA/WARG3683.txt",2,identical sha256 660ca1d3bdcfdd09...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3763.txt,WECCL20/LEMMA/WARG4621.txt",2,identical sha256 666761160983eaeb...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1413.txt,WECCL20/LEMMA/WARG1803.txt",2,identical sha256 668bf0fa39953be3...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3758.txt,WECCL20/LEMMA/WARG4148.txt",2,identical sha256 6771bdda3a01ca29...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1884.txt,WECCL20/LEMMA/WARG2274.txt",2,identical sha256 6a9c7b02e84d91a7...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1408.txt,WECCL20/LEMMA/WARG1798.txt",2,identical sha256 6eb59f26d1d8d16f...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG1423.txt,WECCL20/LEMMA/WARG2281.txt",2,identical sha256 701e057ba5cae481...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0017.txt,WECCL20/LEMMA/WARG0876.txt",2,identical sha256 7301c8c2acdfbf84...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2347.txt,WECCL20/LEMMA/WARG2737.txt",2,identical sha256 730b6eb2ec5b5132...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3762.txt,WECCL20/LEMMA/WARG4620.txt",2,identical sha256 7394449fbdf9bdfb...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG4215.txt,WECCL20/LEMMA/WARG4605.txt",2,identical sha256 747205fdd58d91c2...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG0484.txt,WECCL20/LEMMA/WARG1342.txt",2,identical sha256 764ecbd22c06dba8...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3293.txt,WECCL20/LEMMA/WARG4151.txt",2,identical sha256 7676014ff2b93a92...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3294.txt,WECCL20/LEMMA/WARG4152.txt",2,identical sha256 7b31aae8d8c28754...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG2348.txt,WECCL20/LEMMA/WARG2738.txt",2,identical sha256 833948ad0b0f3c02...
weccl_lemma,exact_byte_duplicate,"WECCL20/LEMMA/WARG3290.txt,WECCL20/LEMMA/WARG3680.txt",2,identical sha256 84e1ed13d72c2e59...
